año,peronista,presidente_17_oct,notas,etapa
1945,SI,Edelmiro Farrell,"Día de la Lealtad, origen del mito; Perón aún no era presidente pero se cuenta como peronista por convención pedida",Farrell / Perón
1946,SI,Juan D. Perón,Asume 4/6/1946,Farrell / Perón
1947,SI,Juan D. Perón,,Farrell / Perón
1948,SI,Juan D. Perón,,Farrell / Perón
1949,SI,Juan D. Perón,,Farrell / Perón
1950,SI,Juan D. Perón,,Farrell / Perón
1951,SI,Juan D. Perón,,Farrell / Perón
1952,SI,Juan D. Perón,,Farrell / Perón
1953,SI,Juan D. Perón,,Farrell / Perón
1954,SI,Juan D. Perón,,Farrell / Perón
1955,NO,Gobierno militar (Lonardi),Golpe de Estado 16/9/1955; para el 17/10 ya no era peronista,"""Revolución Libertadora"""
1956,NO,Gobierno militar (Aramburu),,"""Revolución Libertadora"""
1957,NO,Gobierno militar (Aramburu),,"""Revolución Libertadora"""
1958,NO,Arturo Frondizi (UCRI),Asume 1/5/1958,Frondizi
1959,NO,Arturo Frondizi (UCRI),,Frondizi
1960,NO,Arturo Frondizi (UCRI),,Frondizi
1961,NO,Arturo Frondizi (UCRI),,Frondizi
1962,NO,José María Guido (interino),Frondizi derrocado en marzo de 1962,Guido
1963,NO,Arturo Illia (UCRP),Asume 12/10/1963; para el 17/10 ya era Illia,Illia
1964,NO,Arturo Illia (UCRP),,Illia
1965,NO,Arturo Illia (UCRP),,Illia
1966,NO,Gobierno militar (Onganía),Golpe de Estado 28/6/1966,"""Revolución Argentina"""
1967,NO,Gobierno militar (Onganía),,"""Revolución Argentina"""
1968,NO,Gobierno militar (Onganía),,"""Revolución Argentina"""
1969,NO,Gobierno militar (Onganía),,"""Revolución Argentina"""
1970,NO,Gobierno militar (Levingston),,"""Revolución Argentina"""
1971,NO,Gobierno militar (Lanusse),,"""Revolución Argentina"""
1972,NO,Gobierno militar (Lanusse),,"""Revolución Argentina"""
1973,SI,Juan D. Perón,Perón asume 12/10/1973 (antes Cámpora desde 25/5/1973); para el 17/10 ya era Perón,Perón / Isabel
